Renault Clio Grand tour ,2011,  5 400 $ , 181 872 грн з ПДВ  ,305 тис. км,Мукачеве,"Дизель, 1.5 л.",Ручна / Механіка,...,2022-05-05 22:16:40,2022-05-05 22:17:54
Audi A6 Allroad 4x4,2011,  14 900 $ , 501 832 грн  ,176 тис. км,Київ,"Дизель, 3 л.",Автомат,"Без пневмо. Тисячу тому зроблено ТО навіть паливного фільтра. Замінено всі 6 свічок розжарення в грудні (через те, що вийшло з ладу реле розжарення). Вирізаний сажовий, чіп близько 300 сил (є можливість повернути, все є). Замінені рідини в повному приводі, АКПП торік. Рестайлінг, ланцюг ходить 300к+. Є кілька косметичних підфарбувань. Олія змінювалася кожні 5000-8000 тисяч кілометрів, від заміни до заміни рівень дома. Замінено лампочки ксенону. Знято пневму, встановлено ППД, є проставки якщо потрібен високий кліренс (Пневма в наявності). Два комплекти гуми на дисках (у відмінному стані 18-го та 20-го років).
Вартість обслуговування на рівні VW Passat B8. (У мене був, знаю що говорю).
Практично повна комплектація:
Безключовий доступ, кнопка старт стоп
Парктронік перед/зад
Комфортні сидіння (зі збільшенням довжини сидіння, розвинена бічна підтримка, повністю електро обидва передні)
Автодальний (камера під дзеркалом)
Ел. привод кришки багажника
Музика Bose (грає шикарно)
Ксенон, ДХО
Скляний люк
Шторки на задніх вікнах
Амбіентне підсвічування салону
Клімат, круїз
Витрата міста 8-12 (залежно від пробок), траса 5.5-8 (залежить від швидкості). Є звіт Carvertical як підтвердження пробігу. Обмін із Вашою доплатою. ...",2022-05-05 22:16:24,2022-05-05 22:16:24
Volkswagen Jetta ,2020,  15 700 $ , 528 776 грн  ,26 тис. км,Черкаси,"Бензин, 1.4 л.",Ручна / Механіка,"Гаражне зберігання, сервісна книжка
Безпека ціла, автомобіль відновлений з нових запчастин, зроблена хімчистка, гаражне зберігання, сервісна книжка Стан нового автомобіля. Коробка механічна 6 ступка. Модель по VIN-коду 2021
За додатковою інформацією звертайтеся  по телефону

 ...",2022-05-05 22:16:10,2022-05-05 22:18:28
Mercedes-Benz V 220 4 MATIC,2019,  65 000 $ , 2 189 200 грн  ,53 тис. км,Вінниця,"Дизель, 2.15 л.",Автомат,"Виготовлений в Німеччині
Офіційний,купувався в салоні Mercedes Соллі плюс,сама повна комплектація 360 камери,повний привід,сліпі зони,парктроніки,авто світло,рух по полосі,датчик дощу та світла,підігрів сидінь,шкіряний салон,електро багажник,електро двері,клімат по салону,АКП,регулювання підвіски:комфорт,еко,спорт.дістронік,круїз,
Не фарбований,стан нового авто,оригінальний пробіг,два ключа.Зимова нова гума та літня.Чудовий автомобіль для сімейних та ділових поїздок.Авто без вкладень.







 ...",2022-05-05 22:16:08,2022-05-05 22:16:08
Toyota Tundra ,2014,  25 500 $ , 858 840 грн  ,98 тис. км,Хмельницький,"Газ / Бензин, 4.6 л.",Автомат,"Продам свой автомобиль, никаких, абсолютно никаких, вложений не требует! 
Описывать тут не буду,доп.вопросы по телефону.  ...",2022-05-05 22:16:08,2022-05-05 22:17:45
Mazda CX-7 ,2007,  8 500 $ , 286 280 грн  ,160 тис. км,Кам'янець-Подільський,"Бензин, 2.3 л.",Автомат,...,2022-05-05 22:16:08,2022-05-05 22:16:08
Ford Kuga ,2011,  10 400 $ , 350 272 грн  ,163 тис. км,Луцьк,"Дизель, 2 л.",Автомат,"Ford Kuga 2011 дизель 2.0 TDCI 4x4, 140 к.с. Автомат 6 ст.
Оригінальний пробіг 163688 км, купувався в салоні в Україні, є сервісна книжка,  ...",2022-05-05 22:16:07,2022-05-05 22:16:07
BMW 320 ,2008,  6 800 $ , 229 024 грн  ,280 тис. км,Тернопіль,"Дизель, 2 л.",Ручна / Механіка,...,2022-05-05 22:16:06,2022-05-05 22:16:05
Honda Civic ,2017,  15 200 $ , 511 936 грн  ,30 тис. км,Вінниця,"Бензин, 2 л.",Варіатор,...,2022-05-05 22:16:05,2022-05-05 22:16:05
BMW 330 ,2017,  17 999 $ , 606 206 грн  ,170 тис. км,Київ,"Бензин, 2 л.",Автомат,...,2022-05-05 22:14:58,2022-05-05 22:14:58
Alfa Romeo GT ,2005,  6 400 $ , 215 552 грн  ,289 тис. км,Згурівка,Дизель,Ручна / Механіка,"Авто в хорошому стані. Пригнане з Італії в 2019. 

Півроку тому було зроблено рульове та підвіску. ТО проводив вчасно. Двигун в чудовому стані. Авто їде бадьоро, турбіна працює як треба. Надійний 1.9 JTD 16V 150 к.с. Машина дуже економна.

Авто обтягнуте матовою плівкою під графіт. Встановлені спойлер та акулка. Накладки на порогах та проставки в колесах. Легкосплавні диски R17 на низькому профілі, що додає автомобілю спортивного вигляду. Безрамкові двері.
Якщо любите увагу - це авто для вас!!

Шкіряний салон світлого кольору + коврики ЕВА.
Дуже комфортна посадка передніх сидінь та багато місця ззаду. Вмісткий багажник як для купе. Запаска та все інше в комплекті.
Є не критичні нюанси по кузову. Видно на фото. 

Готовий до перевірки будь-якими приборами та сто за ваш рахунок. 
Повне переоформлення. Віддам 2 комплект гуми. 

Торг умісний. Решта деталей по телефону. ...",2022-05-05 22:14:55,2022-05-05 22:14:54
Opel Vivaro пасс. ,2005,  9 600 $ , 323 328 грн  ,301 тис. км,Новоград-Волинський,"Дизель, 1.9 л.",Ручна / Механіка,Машина в чудовому стані сів і поїхав все працює додаткові питання по телефону ...,2022-05-05 22:14:10,2022-05-05 22:14:10
ВАЗ 21099 Individual ,2007,  3 400 $ , 114 512 грн  ,154 тис. км,Чернівці,"Газ / Бензин, 1.6 л.",Ручна / Механіка,"Продам гарне авто в хорошому стані, вкладень не потребує.  Авто повністю обслужене їде як на газу так і на бензині газова установка євро4 всі фільтра і масла замінені . Машина у рідній фарбі є декілька незначних рижиків не заробляв бо рідна фарба. Авто варто вашої уваги оригінальний пробіг будь який вид переоформлення. ...",2022-05-05 22:14:10,2022-05-05 22:14:10
Opel Insignia Sports Tourer ,2010,  7 750 $ , 261 020 грн  ,253 тис. км,Чернівці,2 л.,Ручна / Механіка,Машина у гарному стані все необхідне помінене більше інформації по телефону. ...,2022-05-05 22:14:10,2022-05-05 22:16:51
Citroen DS5 ,2012,  9 900 $ , 333 432 грн  ,176 тис. км,Київ,"Бензин, 1.6 л.",Автомат,"Круиз-контроль
Регулируемая рулевая колонка
Электрический стояночный тормоз
Бортовой компьютер
Отделка кожей элементов интерьера (кожаный руль, рычаг КПП и т.п.)
Колеса
Диаметр дисков: 18
Тип дисков: Легкосплавные
Климат в салоне и шумоизоляция
2-х зонный климат-контроль
Помощь при старте со склона (Hill Assist Control)
Регулируемое по высоте водительское сидение
Подлокотник передний
Подлокотник задний
Led фары
Передние противотуманные фары
Автоматическое включение ближнего света (датчик света)
CD player
Пульт на руле
Радиоприемник
USB
Зеркала заднего вида и дверные ручки в цвет кузова
Панорамная крыша
Датчик дождя
Подогрев зеркал заднего вида
Электрорегулировка зеркал заднего вида
Передние электростеклоподъемники
Задние электростеклоподъемники
Тонированное стекло
Антиблокировочная система (ABS)
Система распределения тормозных усилий (EBD, EBV, REF, EBFD)
Система курсовой устойчивости (ESP, DSC, ESC, VSC)
Антипробуксовочная система (Traction control, ASR)
Крепление детского сиденья
Система помощи при экстренном торможении (AFU)
Центральный замок
Иммобилайзер
Бесключевой доступ
Запуск двигателя без ключа; Пульт PLIP + Автоматическая блокировка дверей и багажника при начале движения
Подушки безопасности ...",2022-05-05 22:14:09,2022-05-05 22:14:09
Opel Astra H ,2005,  4 900 $ , 165 032 грн  ,269 тис. км,Ковель,Бензин,Ручна / Механіка,"Opel Astra H 
Авто в хорошому стані як технічно так і візуально 
Надійний та економний мотор 1.8 EcoTec 
Автомобіль приганявся у лютому 2022 р
Гарна комплектація 
Детальніше по телефону ...",2022-05-05 22:14:09,2022-05-05 22:14:09
Volvo V50 ,2010,  5 550 $ , 186 924 грн  ,203 тис. км,Калуш,"Дизель, 1.6 л.",Ручна / Механіка,"ТЕРМІНОВО ПРОДАМ!!! Авто збережене, технічно повністю ДОБРЕ, кузов теж ДОБРИЙ. Вкладень непотребує!!! Колеса R17 на титанах. Єдиний дефект на торпеді біля щитка приборів на фото все видно!!! Причина продажі виїзд за кордон.  ...",2022-05-05 22:14:08,2022-05-05 22:14:08
Honda Civic ,1997,  2 700 $ , 90 936 грн  ,240 тис. км,Вінниця,"Газ / Бензин, 1.4 л.",Ручна / Механіка,В технічно справному стані машинка вогонь . Деталі по телефону  ...,2022-05-05 22:14:08,2022-05-05 22:14:08
Mazda 3 ,2019,  19 900 $ , 670 232 грн  ,28 тис. км,Львів,"Бензин, 2.5 л.",Автомат,"Mazda 3 AWD PREFFERD у відмінному стані 
Повний привід
Двозонний клімат-контроль
Підігрів сидінь
Електрорегулювання передніх сидінь Пам'ять сидінь
Дзеркало заднього виду з автозатемненням
Адаптивний круїз контроль  
Аудіосистеми BOSE
Bluetooth  
Камера заднього виду
Безключовий доступ 
Кнопку старт стоп
Чорна стеля. 
Аutohold  
Датчик тиску шин
Датчик дощу/світла
Монітор сліпих зон
Жодних вкладень не вимагає ...",2022-05-05 22:14:07,2022-05-05 22:17:51
Subaru Legacy Outback ,2000,  4 000 $ , 134 720 грн  ,500 тис. км,Львів,"Газ / Бензин, 2.5 л.",Автомат,"Машинка в ідеальному технічному стані,заміна масла двигуна та акпп,нові стойки,диски,колодки,помпа,радіатор,всі ремні та ролики,захист двигуна,4 нових літніх колеса Kormoran та 4зимових на дисках Pirelliпотребує косметичного ремонту та заміни лобового,газ бензин,кожен день на ходу. ...",2022-05-05 22:14:07,2022-05-05 22:14:07
